"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"branson","Bruce Branson","Poole College of Management","Accounting","","False","1","6","#F0E442","False",""
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","2","76","#0072B2","False",""
"ycheng20","Alice Cheng","College of Humanities and Social Sciences","Communication","","False","13","74","#CC79A7","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","1","55","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","1","63","#0072B2","False",""
"mkleine","Manuel Kleiner","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","6","122","#E69F00","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","4","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","3","54","#1ABC9C","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","3","33","#009E73","False",""
"zcang","Zixuan Cang","College of Sciences","Mathematics","","False","3","32","#009E73","False",""
"llbrongo","Lara Pacifici","College of Natural Resources","Forestry and Environmental Resources","","False","1","2","#9B59B6","False",""
"jakamins","Jessica Kaminsky","College of Engineering","Civil, Construction and Environmental Engineering","","False","11","76","#0072B2","False",""
"ccmeisne","Colten Meisner","College of Humanities and Social Sciences","Communication","","False","2","8","#CC79A7","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","12","95","#9B59B6","False",""
"fsantos2","Frederico Freitas","College of Humanities and Social Sciences","History","","False","1","17","#CC79A7","False",""
"hli73","Hui Li","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","8","23","#E69F00","False",""
"ldmcquee","LaTanya McQueen","College of Humanities and Social Sciences","English","","False","1","2","#CC79A7","False",""
"amcabasm","Ashly Cabas Mijares","College of Engineering","Civil, Construction and Environmental Engineering","","False","1","18","#0072B2","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","8","196","#0072B2","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","7","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","9","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","3","52","#56B4E9","False",""
"mchi","Min Chi","College of Engineering","Computer Science","","False","6","53","#0072B2","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","4","48","#0072B2","False",""
"jcao22","Jie Cao","College of Agriculture and Life Sciences","Applied Ecology","","False","3","51","#E69F00","False",""
"alkwansa","Albert Kwansa","College of Engineering","Materials Science and Engineering","","False","1","21","#0072B2","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","15","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","4","132","#0072B2","False",""
"japorter","Anne Porterfield","Wilson College of Textiles","Textile and Apparel, Technology and Management","","False","1","8","#1ABC9C","False",""
"seshelto","Sarah Shelton","College of Engineering","Biomedical Engineering","","False","4","43","#0072B2","False",""
"sksupak","Stacy Supak","College of Natural Resources","Center for Geospatial Analytics","","False","1","12","#9B59B6","False",""
"jggayles","Joy Gayles","College of Education","Educational Leadership, Policy, and Human Development","","False","1","25","#D55E00","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","11","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","29","372","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","2","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","4","110","#E69F00","False",""
"jbudhat","Januka Budhathoki Uprety","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","38","#1ABC9C","False",""
"cflynch","Collin Lynch","College of Engineering","Computer Science","","False","6","43","#0072B2","False",""
"mjbradsh","Michael Bradshaw","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","14","67","#E69F00","False",""
"fjliving","Frederick Livingston","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","1","5","#0072B2","False",""
"kdgriege","Khara Grieger","College of Agriculture and Life Sciences","Applied Ecology","","False","11","76","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","5","87","#9B59B6","False",""
"klan2","Kai Lan","College of Natural Resources","Forest Biomaterials","","False","4","47","#9B59B6","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","11","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","5","83","#0072B2","False",""
"cwong9","Chau-Wai Wong","College of Engineering","Electrical and Computer Engineering","","False","9","46","#0072B2","False",""
"rbordol","Rongmon Bordoloi","College of Sciences","Physics","","False","9","45","#009E73","False",""
"skoenig","Sebastian Koenig","College of Sciences","Physics","","False","4","46","#009E73","False",""
"hallen","Hans Hallen","College of Sciences","Physics","","False","2","58","#009E73","False",""
"adas8","Anupam Das","College of Engineering","Computer Science","","False","1","13","#0072B2","False",""
"jmgray2","Josh Gray","College of Natural Resources","Forestry and Environmental Resources","","False","3","47","#9B59B6","False",""
"bgilger","Brian Gilger","College of Veterinary Medicine","Clinical Sciences","","False","9","162","#56B4E9","False",""
