"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","2","76","#0072B2","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","3","55","#0072B2","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","4","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","54","#1ABC9C","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","1","37","#009E73","False",""
"jhvanzan","John van Zanten","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","1","8","#0072B2","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","4","95","#9B59B6","False",""
"fsantos2","Frederico Freitas","College of Humanities and Social Sciences","History","","False","1","17","#CC79A7","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","4","66","#E69F00","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","7","196","#0072B2","False",""
"dpellet","Denis Pelletier","Poole College of Management","Economics","","False","2","19","#F0E442","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","4","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","7","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","1","52","#56B4E9","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","3","38","#E69F00","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","1","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","1","48","#0072B2","False",""
"mchi","Min Chi","College of Engineering","Computer Science","","False","2","53","#0072B2","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","4","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","8","132","#0072B2","False",""
"jggayles","Joy Gayles","College of Education","Educational Leadership, Policy, and Human Development","","False","1","25","#D55E00","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","4","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","4","372","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","3","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","4","110","#E69F00","False",""
"jbudhat","Januka Budhathoki Uprety","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","38","#1ABC9C","False",""
"kdgriege","Khara Grieger","College of Agriculture and Life Sciences","Applied Ecology","","False","1","76","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","3","87","#9B59B6","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","6","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","6","83","#0072B2","False",""
"hallen","Hans Hallen","College of Sciences","Physics","","False","2","58","#009E73","False",""
"sastage","Scott Stage","College of Humanities and Social Sciences","Psychology","","False","3","10","#CC79A7","False",""
"bgilger","Brian Gilger","College of Veterinary Medicine","Clinical Sciences","","False","11","162","#56B4E9","False",""
"rlcook","Rachel Cook","College of Natural Resources","Forestry and Environmental Resources","","False","1","74","#9B59B6","False",""
"apgriesh","Andrew Grieshop","College of Engineering","Civil, Construction and Environmental Engineering","","False","2","67","#0072B2","False",""
"sepratt2","Shannon Phillips","College of Agriculture and Life Sciences","Animal Science","","False","3","53","#E69F00","False",""
"rfguerre","Rafael Guerrero","College of Sciences","Biological Sciences","","False","1","47","#009E73","False",""
"rjnaraya","Roger Narayan","College of Engineering","Biomedical Engineering","","False","25","288","#0072B2","False",""
"closburn","Chris Osburn","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","4","124","#009E73","False",""
"jkuzma","Jennifer Kuzma","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","9","85","#CC79A7","False",""
"cmtherio","Casey Theriot","College of Veterinary Medicine","Population Health and Pathobiology","","False","2","63","#56B4E9","False",""
"klebert","Kim Ebert","College of Humanities and Social Sciences","Sociology and Anthropology","","False","2","21","#CC79A7","False",""
"glcomsto","Gary Comstock","College of Humanities and Social Sciences","Philosophy and Religious Studies","","False","7","42","#CC79A7","False",""
"oyozalti","Osman Ozaltin","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","3","39","#0072B2","False",""
"msashwel","Melissa Merrill","College of Agriculture and Life Sciences","Animal Science","","False","3","28","#E69F00","False",""
"msano2","Mike Sano","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","4","43","#56B4E9","False",""
"clpickwo","Carrie Pickworth","College of Agriculture and Life Sciences","Animal Science","","False","1","42","#E69F00","False",""
"mlsikes","Michael Sikes","College of Sciences","Biological Sciences","","False","3","11","#009E73","False",""
"mpgreen2","Matthew Green","College of Sciences","Physics","","False","1","94","#009E73","False",""
"sescherf","Susan Jakes","College of Agriculture and Life Sciences","College of Agriculture and Life Sciences Administration","","False","1","5","#E69F00","False",""
"thlabean","Thomas LaBean","College of Engineering","Materials Science and Engineering","","False","2","57","#0072B2","False",""
"shultz","David Shultz","College of Sciences","Chemistry","","False","3","59","#009E73","False",""
"shu4","Shuijin Hu","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","4","183","#E69F00","False",""
"fgarcia4","Fernando Garcia Menendez","College of Engineering","Civil, Construction and Environmental Engineering","","False","1","41","#0072B2","False",""
"wolfram","Walter Wolfram","College of Humanities and Social Sciences","English","","False","1","20","#CC79A7","False",""
"mvramire","Melissa Ramirez","College of Sciences","Biological Sciences","","False","1","25","#009E73","False",""
"yencho","Craig Yencho","College of Agriculture and Life Sciences","Horticultural Science","","False","4","109","#E69F00","False",""
"ranji","Ranji Ranjithan","College of Engineering","Civil, Construction and Environmental Engineering","","False","11","66","#0072B2","False",""
"aecarso2","Ashley Brown","College of Engineering","Biomedical Engineering","","False","1","103","#0072B2","False",""
"dbeggles","David Eggleston","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","2","70","#009E73","False",""
"odvelev","Orlin Velev","College of Engineering","Chemical and Biomolecular Engineering","","False","10","202","#0072B2","False",""
"cjhalweg","Chris Halweg","College of Sciences","Biological Sciences","","False","1","2","#009E73","False",""
"mwking2","Martin King","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","72","#1ABC9C","False",""
"xpeng5","Xinxia Peng","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","4","60","#56B4E9","False",""
"lawilli3","Laurie Williams","College of Engineering","Computer Science","","False","4","101","#0072B2","False",""
"mco","Mehmet Ozturk","College of Engineering","Electrical and Computer Engineering","","False","2","27","#0072B2","False",""
"lclove","Lydia Love","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","1","18","#56B4E9","False",""
"cxu24","Cheryl Xu","College of Engineering","Mechanical and Aerospace Engineering","","False","12","90","#0072B2","False",""
"skrhea","Sarah Rhea","College of Veterinary Medicine","Population Health and Pathobiology","","False","1","33","#56B4E9","False",""
"ekemahl","Eda Kemahlioglu-Ziya","Poole College of Management","Information Technology, Analytics, & Operations","","False","1","16","#F0E442","False",""
"dambaras","David Ambaras","College of Humanities and Social Sciences","History","","False","2","17","#CC79A7","False",""
"jftu","Juei Tu","College of Engineering","Mechanical and Aerospace Engineering","","False","2","23","#0072B2","False",""
"franzen","Stefan Franzen","College of Sciences","Chemistry","","False","13","129","#009E73","False",""
"kjpeters","Kara Peters","College of Engineering","Engineering Research","","False","11","157","#0072B2","False",""
"mnavramo","Maria Avramova","College of Engineering","Nuclear Engineering","","False","2","85","#0072B2","False",""
"bjchapma","Benjamin Chapman","College of Agriculture and Life Sciences","Agricultural and Human Sciences","","False","2","45","#E69F00","False",""
"btoconno","Brendan O'Connor","College of Engineering","Mechanical and Aerospace Engineering","","False","2","87","#0072B2","False",""
"rashirwa","Rohan Shirwaiker","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","1","55","#0072B2","False",""
"aismirno","Alexej Smirnov","College of Sciences","Chemistry","","False","9","127","#009E73","False",""
"hmmcgowa","Herle McGowan","College of Sciences","College of Sciences Administration","","False","1","1","#009E73","False",""
"bwatson","Benjamin Watson","College of Engineering","Computer Science","","False","2","22","#0072B2","False",""
"jtsuji","Jun Ninomiya-Tsuji","College of Sciences","Biological Sciences","","False","3","52","#009E73","False",""
"nwising","Nina Balke","College of Engineering","Materials Science and Engineering","","False","7","143","#0072B2","False",""
"amelsha","Ahmed El-Shafei","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","134","#1ABC9C","False",""
"drotenb","Dorith Rotenberg","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","1","60","#E69F00","False",""
"tnguye13","Tien Khai Nguyen","College of Sciences","Mathematics","","False","2","45","#009E73","False",""
"nsharm23","Nitin Sharma","College of Engineering","Biomedical Engineering","","False","4","125","#0072B2","False",""
"lalucia","Lucian Lucia","College of Natural Resources","Forest Biomaterials","","False","5","313","#9B59B6","False",""
"wchang6","Wei-Chen Chang","College of Sciences","Chemistry","","False","1","76","#009E73","False",""
"sthakur","Siddhartha Thakur","College of Veterinary Medicine","Population Health and Pathobiology","","False","5","100","#56B4E9","False",""
"dvashae","Daryoosh Vashaee","College of Engineering","Electrical and Computer Engineering","","False","1","210","#0072B2","False",""
"aalexan3","Alen Alexanderian","College of Sciences","Mathematics","","False","1","48","#009E73","False",""
"hubbe","Martin Hubbe","College of Natural Resources","Forest Biomaterials","","False","2","137","#9B59B6","False",""
"jsking5","John King","College of Natural Resources","Forestry and Environmental Resources","","False","3","102","#9B59B6","False",""
"rbarran","Rodolphe Barrangou","College of Agriculture and Life Sciences","Food, Bioprocessing, and Nutrition Sciences","","False","4","237","#E69F00","False",""
"daley","Dennis Daley","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","1","12","#CC79A7","False",""
"lmclaug2","Levi McLaughlin","College of Humanities and Social Sciences","Philosophy and Religious Studies","","False","2","34","#CC79A7","False",""
"bejacks2","Brian Jackson","College of Agriculture and Life Sciences","Horticultural Science","","False","1","48","#E69F00","False",""
"rsazdan","Radmila Sazdanovic","College of Sciences","Mathematics","","False","1","53","#009E73","False",""
"ceg","Clifford Griffin","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","1","4","#CC79A7","False",""
"lwalker3","Lin Walker","College of Agriculture and Life Sciences","Prestage Department of Poultry Science","","False","1","15","#E69F00","False",""
"mbnsonwu","Maura Nsonwu","College of Humanities and Social Sciences","Social Work","","False","1","28","#CC79A7","False",""
"kmathews","Kyle Mathews","College of Veterinary Medicine","Clinical Sciences","","False","3","66","#56B4E9","False",""
"kmcharro","Kat Charron","College of Humanities and Social Sciences","History","","False","2","8","#CC79A7","False",""
"xlin35","Xingcheng Lin","College of Sciences","Physics","","False","2","56","#009E73","False",""
"astaicu","Ana-Maria Staicu","College of Sciences","Statistics","","False","3","68","#009E73","False",""
"slvaden","Shelly Vaden","College of Veterinary Medicine","Clinical Sciences","","False","4","84","#56B4E9","False",""
"cproulx","Caroline Proulx","College of Sciences","Chemistry","","False","3","42","#009E73","False",""
"nrames","Natalie Ames","College of Humanities and Social Sciences","Social Work","","False","1","13","#CC79A7","False",""
"bkgoodwi","Barry Goodwin","College of Agriculture and Life Sciences","Agricultural and Resource Economics","","False","3","76","#E69F00","False",""
"ksaul","Katherine Saul","College of Engineering","Mechanical and Aerospace Engineering","","False","1","76","#0072B2","False",""
"rbhayes","Robert Hayes","College of Engineering","Nuclear Engineering","","False","2","61","#0072B2","False",""
"skmishra","Santosh Mishra","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","1","35","#56B4E9","False",""
"vmbakerr","Michelle Russell","College of Humanities and Social Sciences","Psychology","","False","2","14","#CC79A7","False",""
"tprange","Timo Prange","College of Veterinary Medicine","Clinical Sciences","","False","3","34","#56B4E9","False",""
"spontak","Richard Spontak","College of Engineering","Chemical and Biomolecular Engineering","","False","4","144","#0072B2","False",""
"gbyrd","Greg Byrd","College of Engineering","Electrical and Computer Engineering","","False","1","53","#0072B2","False",""
"bmrao","Balaji Rao","College of Engineering","Chemical and Biomolecular Engineering","","False","2","67","#0072B2","False",""
"mdlorenz","Marce Lorenzen","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","1","49","#E69F00","False",""
"ksmulvey","Kelly Lynn Mulvey","College of Humanities and Social Sciences","Psychology","","False","1","138","#CC79A7","False",""
"mbedward","Michael Edwards","College of Natural Resources","Parks, Recreation and Tourism Management","","False","2","57","#9B59B6","False",""
"esmoney","Eric Money","College of Natural Resources","Center for Geospatial Analytics","","False","1","15","#9B59B6","False",""
"rcrespo","Rocio Crespo","College of Veterinary Medicine","Population Health and Pathobiology","","False","3","64","#56B4E9","False",""
"hdwester","Hans Westermeyer","College of Veterinary Medicine","Clinical Sciences","","False","1","43","#56B4E9","False",""
"vgcarraw","Virginia Stage","College of Agriculture and Life Sciences","Agricultural and Human Sciences","","False","2","60","#E69F00","False",""
"akemper","Lex Kemper","College of Sciences","College of Sciences Administration","","False","3","125","#009E73","False",""
"arellis","Alan Ellis","College of Humanities and Social Sciences","Social Work","","False","1","72","#CC79A7","False",""
"nmatsud","Noboru Matsuda","College of Engineering","Computer Science","","False","2","34","#0072B2","False",""
"drsheehy","Donald Sheehy","College of Engineering","Computer Science","","False","2","29","#0072B2","False",""
"erthomas","Erik Thomas","College of Humanities and Social Sciences","English","","False","1","15","#CC79A7","False",""
"kimler","William Kimler","College of Humanities and Social Sciences","History","","False","2","4","#CC79A7","False",""
"oaharrys","Ola Lars Harrysson","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","2","61","#0072B2","False",""
"jcmichno","Jim Michnowicz","College of Humanities and Social Sciences","World Languages and Cultures","","False","1","22","#CC79A7","False",""
"fldelosr","Francis de los Reyes","College of Engineering","Civil, Construction and Environmental Engineering","","False","7","93","#0072B2","False",""
"cjmattin","Carolyn Mattingly","College of Sciences","Biological Sciences","","False","2","59","#009E73","False",""
"macubeta","Marc Cubeta","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","2","64","#E69F00","False",""
"mtulbure","Mirela Tulbure","College of Natural Resources","Forestry and Environmental Resources","","False","4","55","#9B59B6","False",""
"candice","Ioannis Viniotis","College of Engineering","Electrical and Computer Engineering","","False","1","23","#0072B2","False",""
"sbhatta4","Subhashish Bhattacharya","College of Engineering","Electrical and Computer Engineering","","False","29","632","#0072B2","False",""
"lkhanley","Linda Hanley-Bowdoin","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","2","54","#E69F00","False",""
"ejakubi","Elena Jakubikova","College of Sciences","Chemistry","","False","1","85","#009E73","False",""
"jlswann","Julie Swann","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","4","100","#0072B2","False",""
"dbdoughe","Daniel Dougherty","College of Sciences","Physics","","False","3","70","#009E73","False",""
"sesuter","Steven Suter","College of Veterinary Medicine","Clinical Sciences","","False","1","52","#56B4E9","False",""
"sflim","Shuang Fang Lim","College of Sciences","Physics","","False","1","22","#009E73","False",""
"iperera","Imara Perera","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","3","33","#E69F00","False",""
"szgurbuz","Sevgi Gurbuz","College of Engineering","Electrical and Computer Engineering","","False","4","125","#0072B2","False",""
"mlcrowle","Martha Crowley","College of Humanities and Social Sciences","Sociology and Anthropology","","False","2","14","#CC79A7","False",""
"ericro","Eric Rotenberg","College of Engineering","Electrical and Computer Engineering","","False","2","39","#0072B2","False",""
"rdewey","Ralph Dewey","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","1","37","#E69F00","False",""
"xie","Lian Xie","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","6","78","#009E73","False",""
"pcjordan","Paige Luck","College of Agriculture and Life Sciences","Food, Bioprocessing, and Nutrition Sciences","","False","2","11","#E69F00","False",""
"aneilso","Andrew Neilson","College of Agriculture and Life Sciences","Kannapolis Research","","False","4","122","#E69F00","False",""
"gsseiler","Gabriela Seiler","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","5","36","#56B4E9","False",""
"aeroglu","Abdulkerim Eroglu","College of Agriculture and Life Sciences","Kannapolis Research","","False","1","24","#E69F00","False",""
"wiley","Steve Wiley","College of Humanities and Social Sciences","Communication","","False","2","9","#CC79A7","False",""
"drasmus","David Rasmussen","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","1","57","#E69F00","False",""
"hall","Carol Hall","College of Engineering","Chemical and Biomolecular Engineering","","False","6","152","#0072B2","False",""
"jbearp","Julie Earp","Poole College of Management","Information Technology, Analytics, & Operations","","False","1","14","#F0E442","False",""
"mrodrig","Marcelo Rodriguez","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","1","16","#56B4E9","False",""
"wasandov","William Sandoval","College of Education","Science, Technology, Engineering, & Mathematics Education","","False","2","33","#D55E00","False",""
"techekk","Tarek Echekki","College of Engineering","Mechanical and Aerospace Engineering","","False","5","72","#0072B2","False",""
"arbinder","Andy Binder","College of Humanities and Social Sciences","Communication","","False","1","25","#CC79A7","False",""
"sghosh2","Sujit Ghosh","College of Sciences","Statistics","","False","7","118","#009E73","False",""
"wftb","William Thompson","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","1","26","#E69F00","False",""
"tfang2","Tiegang Fang","College of Engineering","Mechanical and Aerospace Engineering","","False","13","163","#0072B2","False",""
"wyuan2","Wenqiao Yuan","College of Agriculture and Life Sciences","Biological and Agricultural Engineering","","False","1","73","#E69F00","False",""
"teshrive","Thomas Shriver","College of Humanities and Social Sciences","Sociology and Anthropology","","False","3","60","#CC79A7","False",""
"blondin","John Blondin","College of Sciences","Physics","","False","2","46","#009E73","False",""
"apmazzol","Andre Mazzoleni","College of Engineering","Mechanical and Aerospace Engineering","","False","1","60","#0072B2","False",""
