"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","4","76","#0072B2","False",""
"ycheng20","Alice Cheng","College of Humanities and Social Sciences","Communication","","False","8","74","#CC79A7","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","6","55","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","2","63","#0072B2","False",""
"mkleine","Manuel Kleiner","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","18","122","#E69F00","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","4","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","3","54","#1ABC9C","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","2","33","#009E73","False",""
"zcang","Zixuan Cang","College of Sciences","Mathematics","","False","4","32","#009E73","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","2","37","#009E73","False",""
"jakamins","Jessica Kaminsky","College of Engineering","Civil, Construction and Environmental Engineering","","False","2","76","#0072B2","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","15","95","#9B59B6","False",""
"fsantos2","Frederico Freitas","College of Humanities and Social Sciences","History","","False","2","17","#CC79A7","False",""
"hli73","Hui Li","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","3","23","#E69F00","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","2","66","#E69F00","False",""
"amcabasm","Ashly Cabas Mijares","College of Engineering","Civil, Construction and Environmental Engineering","","False","3","18","#0072B2","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","5","196","#0072B2","False",""
"dpellet","Denis Pelletier","Poole College of Management","Economics","","False","1","19","#F0E442","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","6","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","5","52","#56B4E9","False",""
"mchi","Min Chi","College of Engineering","Computer Science","","False","2","53","#0072B2","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","2","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","1","48","#0072B2","False",""
"dchen33","Danjue Chen","College of Engineering","Civil, Construction and Environmental Engineering","","False","4","4","#0072B2","False",""
"alkwansa","Albert Kwansa","College of Engineering","Materials Science and Engineering","","False","3","21","#0072B2","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","15","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","1","132","#0072B2","False",""
"japorter","Anne Porterfield","Wilson College of Textiles","Textile and Apparel, Technology and Management","","False","1","8","#1ABC9C","False",""
"jcao22","Jie Cao","College of Agriculture and Life Sciences","Applied Ecology","","False","8","51","#E69F00","False",""
"seshelto","Sarah Shelton","College of Engineering","Biomedical Engineering","","False","6","43","#0072B2","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","9","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","28","372","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","2","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","7","110","#E69F00","False",""
"jbudhat","Januka Budhathoki Uprety","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","6","38","#1ABC9C","False",""
"cflynch","Collin Lynch","College of Engineering","Computer Science","","False","7","43","#0072B2","False",""
"mjbradsh","Michael Bradshaw","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","5","67","#E69F00","False",""
"kdgriege","Khara Grieger","College of Agriculture and Life Sciences","Applied Ecology","","False","7","76","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","4","87","#9B59B6","False",""
"klan2","Kai Lan","College of Natural Resources","Forest Biomaterials","","False","17","47","#9B59B6","False",""
"mcsrougi","Melissa Srougi","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","2","26","#56B4E9","False",""
"jsatyav","Jayalakshmi Chandrika Satyavolu","College of Engineering","Computer Science","","False","1","2","#0072B2","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","11","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","2","83","#0072B2","False",""
"cwong9","Chau-Wai Wong","College of Engineering","Electrical and Computer Engineering","","False","5","46","#0072B2","False",""
"rbordol","Rongmon Bordoloi","College of Sciences","Physics","","False","6","45","#009E73","False",""
"skoenig","Sebastian Koenig","College of Sciences","Physics","","False","5","46","#009E73","False",""
"adas8","Anupam Das","College of Engineering","Computer Science","","False","3","13","#0072B2","False",""
"jmgray2","Josh Gray","College of Natural Resources","Forestry and Environmental Resources","","False","10","47","#9B59B6","False",""
"bgilger","Brian Gilger","College of Veterinary Medicine","Clinical Sciences","","False","10","162","#56B4E9","False",""
"bbcutts","Bethany Cutts","College of Natural Resources","Parks, Recreation and Tourism Management","","False","5","55","#9B59B6","False",""
"arkendal","Allison Kendall","College of Veterinary Medicine","Clinical Sciences","","False","3","18","#56B4E9","False",""
"lnelson3","Laura Nelson","College of Veterinary Medicine","Clinical Sciences","","False","1","7","#56B4E9","False",""
"mdwalker","Mark Walker","Poole College of Management","Finance","","False","1","15","#F0E442","False",""
"lpal","Lokendra Pal","College of Natural Resources","Forest Biomaterials","","False","12","96","#9B59B6","False",""
"apgriesh","Andrew Grieshop","College of Engineering","Civil, Construction and Environmental Engineering","","False","7","67","#0072B2","False",""
"fedens","Frank Edens","College of Agriculture and Life Sciences","Prestage Department of Poultry Science","","False","3","16","#E69F00","False",""
"rfguerre","Rafael Guerrero","College of Sciences","Biological Sciences","","False","3","47","#009E73","False",""
"rjnaraya","Roger Narayan","College of Engineering","Biomedical Engineering","","False","12","288","#0072B2","False",""
"closburn","Chris Osburn","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","5","124","#009E73","False",""
"jkuzma","Jennifer Kuzma","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","2","85","#CC79A7","False",""
"cmtherio","Casey Theriot","College of Veterinary Medicine","Population Health and Pathobiology","","False","3","63","#56B4E9","False",""
"rlcook","Rachel Cook","College of Natural Resources","Forestry and Environmental Resources","","False","15","74","#9B59B6","False",""
"ryu5","Ruozhou Yu","College of Engineering","Computer Science","","False","7","63","#0072B2","False",""
