"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","1","76","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","3","63","#0072B2","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","1","33","#009E73","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","5","79","#E69F00","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","2","37","#009E73","False",""
"jhvanzan","John van Zanten","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","1","8","#0072B2","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","4","66","#E69F00","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","1","196","#0072B2","False",""
"dpellet","Denis Pelletier","Poole College of Management","Economics","","False","1","19","#F0E442","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","2","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","2","52","#56B4E9","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","1","38","#E69F00","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","2","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","1","48","#0072B2","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","1","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","11","132","#0072B2","False",""
"sksupak","Stacy Supak","College of Natural Resources","Center for Geospatial Analytics","","False","1","12","#9B59B6","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","2","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","7","372","#0072B2","False",""
"cuomo","Jerome Cuomo","College of Engineering","Materials Science and Engineering","","False","2","5","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","3","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","9","110","#E69F00","False",""
"cflynch","Collin Lynch","College of Engineering","Computer Science","","False","1","43","#0072B2","False",""
"fjliving","Frederick Livingston","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","1","5","#0072B2","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","2","87","#9B59B6","False",""
"mcsrougi","Melissa Srougi","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","3","26","#56B4E9","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","8","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","9","83","#0072B2","False",""
"hallen","Hans Hallen","College of Sciences","Physics","","False","4","58","#009E73","False",""
"bgilger","Brian Gilger","College of Veterinary Medicine","Clinical Sciences","","False","6","162","#56B4E9","False",""
"mdwalker","Mark Walker","Poole College of Management","Finance","","False","2","15","#F0E442","False",""
"apgriesh","Andrew Grieshop","College of Engineering","Civil, Construction and Environmental Engineering","","False","1","67","#0072B2","False",""
"rjnaraya","Roger Narayan","College of Engineering","Biomedical Engineering","","False","15","288","#0072B2","False",""
