"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","2","76","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","3","63","#0072B2","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","1","33","#009E73","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","3","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","54","#1ABC9C","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","2","37","#009E73","False",""
"jhvanzan","John van Zanten","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","1","8","#0072B2","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","4","66","#E69F00","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","4","196","#0072B2","False",""
"dpellet","Denis Pelletier","Poole College of Management","Economics","","False","1","19","#F0E442","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","2","107","#CC79A7","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","2","38","#E69F00","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","3","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","4","132","#0072B2","False",""
"sksupak","Stacy Supak","College of Natural Resources","Center for Geospatial Analytics","","False","1","12","#9B59B6","False",""
"jggayles","Joy Gayles","College of Education","Educational Leadership, Policy, and Human Development","","False","1","25","#D55E00","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","4","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","4","372","#0072B2","False",""
"cuomo","Jerome Cuomo","College of Engineering","Materials Science and Engineering","","False","1","5","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","7","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","7","110","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","2","87","#9B59B6","False",""
"crouse","David Crouse","College of Agriculture and Life Sciences","College of Agriculture and Life Sciences Administration","","False","3","3","#E69F00","False",""
"mcsrougi","Melissa Srougi","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","2","26","#56B4E9","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","4","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","5","83","#0072B2","False",""
"hallen","Hans Hallen","College of Sciences","Physics","","False","2","58","#009E73","False",""
"bgilger","Brian Gilger","College of Veterinary Medicine","Clinical Sciences","","False","4","162","#56B4E9","False",""
"lnelson3","Laura Nelson","College of Veterinary Medicine","Clinical Sciences","","False","1","7","#56B4E9","False",""
"apgriesh","Andrew Grieshop","College of Engineering","Civil, Construction and Environmental Engineering","","False","2","67","#0072B2","False",""
"fedens","Frank Edens","College of Agriculture and Life Sciences","Prestage Department of Poultry Science","","False","1","16","#E69F00","False",""
"rjnaraya","Roger Narayan","College of Engineering","Biomedical Engineering","","False","15","288","#0072B2","False",""
"closburn","Chris Osburn","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","2","124","#009E73","False",""
"jkuzma","Jennifer Kuzma","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","1","85","#CC79A7","False",""
"srporter","Stephen Porter","College of Education","Educational Leadership, Policy, and Human Development","","False","4","26","#D55E00","False",""
"ljunruh","Lori Unruh Snyder","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","1","10","#E69F00","False",""
"kszagack","Kenneth Zagacki","College of Humanities and Social Sciences","Communication","","False","3","10","#CC79A7","False",""
"mpgreen2","Matthew Green","College of Sciences","Physics","","False","3","94","#009E73","False",""
"dmwalls","Douglas Walls","College of Humanities and Social Sciences","English","","False","1","10","#CC79A7","False",""
"jfeduci","Jeremiah Feducia","College of Sciences","Chemistry","","False","1","6","#009E73","False",""
"thlabean","Thomas LaBean","College of Engineering","Materials Science and Engineering","","False","4","57","#0072B2","False",""
"shultz","David Shultz","College of Sciences","Chemistry","","False","3","59","#009E73","False",""
"shu4","Shuijin Hu","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","7","183","#E69F00","False",""
"mvramire","Melissa Ramirez","College of Sciences","Biological Sciences","","False","1","25","#009E73","False",""
"hjburges","Helen Burgess","College of Humanities and Social Sciences","English","","False","1","15","#CC79A7","False",""
"yencho","Craig Yencho","College of Agriculture and Life Sciences","Horticultural Science","","False","2","109","#E69F00","False",""
"ranji","Ranji Ranjithan","College of Engineering","Civil, Construction and Environmental Engineering","","False","9","66","#0072B2","False",""
"kmitchel","Karlyn Mitchell","Poole College of Management","Finance","","False","1","7","#F0E442","False",""
"dbeggles","David Eggleston","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","3","70","#009E73","False",""
"odvelev","Orlin Velev","College of Engineering","Chemical and Biomolecular Engineering","","False","11","202","#0072B2","False",""
"mwking2","Martin King","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","72","#1ABC9C","False",""
"xpeng5","Xinxia Peng","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","1","60","#56B4E9","False",""
"bnbakalo","Bojko Bakalov","College of Sciences","Mathematics","","False","1","30","#009E73","False",""
"lawilli3","Laurie Williams","College of Engineering","Computer Science","","False","3","101","#0072B2","False",""
"mco","Mehmet Ozturk","College of Engineering","Electrical and Computer Engineering","","False","2","27","#0072B2","False",""
"jgrimes","Jesse Grimes","College of Agriculture and Life Sciences","Prestage Department of Poultry Science","","False","2","62","#E69F00","False",""
"mtang8","Minh Tang","College of Sciences","Statistics","","False","1","57","#009E73","False",""
