"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","2","76","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","2","63","#0072B2","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","1","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","5","54","#1ABC9C","False",""
"jhvanzan","John van Zanten","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","1","8","#0072B2","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","5","196","#0072B2","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","1","107","#CC79A7","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","4","38","#E69F00","False",""
"mchi","Min Chi","College of Engineering","Computer Science","","False","1","53","#0072B2","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","5","50","#56B4E9","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","6","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","11","132","#0072B2","False",""
"jggayles","Joy Gayles","College of Education","Educational Leadership, Policy, and Human Development","","False","1","25","#D55E00","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","5","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","9","372","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","2","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","4","110","#E69F00","False",""
"cflynch","Collin Lynch","College of Engineering","Computer Science","","False","1","43","#0072B2","False",""
"kdgriege","Khara Grieger","College of Agriculture and Life Sciences","Applied Ecology","","False","1","76","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","3","87","#9B59B6","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","8","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","3","83","#0072B2","False",""
"hallen","Hans Hallen","College of Sciences","Physics","","False","5","58","#009E73","False",""
"sastage","Scott Stage","College of Humanities and Social Sciences","Psychology","","False","1","10","#CC79A7","False",""
"bgilger","Brian Gilger","College of Veterinary Medicine","Clinical Sciences","","False","10","162","#56B4E9","False",""
"bbcutts","Bethany Cutts","College of Natural Resources","Parks, Recreation and Tourism Management","","False","1","55","#9B59B6","False",""
"mdwalker","Mark Walker","Poole College of Management","Finance","","False","1","15","#F0E442","False",""
"lpal","Lokendra Pal","College of Natural Resources","Forest Biomaterials","","False","1","96","#9B59B6","False",""
"rjnaraya","Roger Narayan","College of Engineering","Biomedical Engineering","","False","9","288","#0072B2","False",""
"closburn","Chris Osburn","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","3","124","#009E73","False",""
"jkuzma","Jennifer Kuzma","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","4","85","#CC79A7","False",""
"glcomsto","Gary Comstock","College of Humanities and Social Sciences","Philosophy and Religious Studies","","False","1","42","#CC79A7","False",""
"srporter","Stephen Porter","College of Education","Educational Leadership, Policy, and Human Development","","False","1","26","#D55E00","False",""
"msashwel","Melissa Merrill","College of Agriculture and Life Sciences","Animal Science","","False","2","28","#E69F00","False",""
"mlsikes","Michael Sikes","College of Sciences","Biological Sciences","","False","1","11","#009E73","False",""
"kszagack","Kenneth Zagacki","College of Humanities and Social Sciences","Communication","","False","1","10","#CC79A7","False",""
"mpgreen2","Matthew Green","College of Sciences","Physics","","False","2","94","#009E73","False",""
"tamaypl","Traci Lamar","Wilson College of Textiles","Textile and Apparel, Technology and Management","","False","2","7","#1ABC9C","False",""
"thlabean","Thomas LaBean","College of Engineering","Materials Science and Engineering","","False","5","57","#0072B2","False",""
"shu4","Shuijin Hu","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","1","183","#E69F00","False",""
"hjburges","Helen Burgess","College of Humanities and Social Sciences","English","","False","2","15","#CC79A7","False",""
"yencho","Craig Yencho","College of Agriculture and Life Sciences","Horticultural Science","","False","3","109","#E69F00","False",""
"ranji","Ranji Ranjithan","College of Engineering","Civil, Construction and Environmental Engineering","","False","6","66","#0072B2","False",""
"dbeggles","David Eggleston","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","7","70","#009E73","False",""
"odvelev","Orlin Velev","College of Engineering","Chemical and Biomolecular Engineering","","False","8","202","#0072B2","False",""
"lmwidman","Laura Widman","College of Humanities and Social Sciences","Psychology","","False","1","102","#CC79A7","False",""
"mwking2","Martin King","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","72","#1ABC9C","False",""
"xpeng5","Xinxia Peng","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","3","60","#56B4E9","False",""
"bnbakalo","Bojko Bakalov","College of Sciences","Mathematics","","False","2","30","#009E73","False",""
"lawilli3","Laurie Williams","College of Engineering","Computer Science","","False","3","101","#0072B2","False",""
"jgrimes","Jesse Grimes","College of Agriculture and Life Sciences","Prestage Department of Poultry Science","","False","5","62","#E69F00","False",""
"cxu24","Cheryl Xu","College of Engineering","Mechanical and Aerospace Engineering","","False","5","90","#0072B2","False",""
"jmalonso","Jose Alonso Bellver","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","3","72","#E69F00","False",""
"dambaras","David Ambaras","College of Humanities and Social Sciences","History","","False","1","17","#CC79A7","False",""
"franzen","Stefan Franzen","College of Sciences","Chemistry","","False","8","129","#009E73","False",""
"kjpeters","Kara Peters","College of Engineering","Engineering Research","","False","3","157","#0072B2","False",""
"bjchapma","Benjamin Chapman","College of Agriculture and Life Sciences","Agricultural and Human Sciences","","False","1","45","#E69F00","False",""
"btoconno","Brendan O'Connor","College of Engineering","Mechanical and Aerospace Engineering","","False","3","87","#0072B2","False",""
"aismirno","Alexej Smirnov","College of Sciences","Chemistry","","False","9","127","#009E73","False",""
"bwatson","Benjamin Watson","College of Engineering","Computer Science","","False","3","22","#0072B2","False",""
"jtsuji","Jun Ninomiya-Tsuji","College of Sciences","Biological Sciences","","False","6","52","#009E73","False",""
"nwising","Nina Balke","College of Engineering","Materials Science and Engineering","","False","5","143","#0072B2","False",""
"nsharm23","Nitin Sharma","College of Engineering","Biomedical Engineering","","False","3","125","#0072B2","False",""
"shall5","Steven Hall","College of Agriculture and Life Sciences","Biological and Agricultural Engineering","","False","1","42","#E69F00","False",""
"lalucia","Lucian Lucia","College of Natural Resources","Forest Biomaterials","","False","6","313","#9B59B6","False",""
"wchang6","Wei-Chen Chang","College of Sciences","Chemistry","","False","2","76","#009E73","False",""
"sthakur","Siddhartha Thakur","College of Veterinary Medicine","Population Health and Pathobiology","","False","1","100","#56B4E9","False",""
"dvashae","Daryoosh Vashaee","College of Engineering","Electrical and Computer Engineering","","False","1","210","#0072B2","False",""
"agupta1","Abhinav Gupta","College of Engineering","Civil, Construction and Environmental Engineering","","False","2","67","#0072B2","False",""
"hubbe","Martin Hubbe","College of Natural Resources","Forest Biomaterials","","False","2","137","#9B59B6","False",""
"jsking5","John King","College of Natural Resources","Forestry and Environmental Resources","","False","1","102","#9B59B6","False",""
"rbarran","Rodolphe Barrangou","College of Agriculture and Life Sciences","Food, Bioprocessing, and Nutrition Sciences","","False","3","237","#E69F00","False",""
"daley","Dennis Daley","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","2","12","#CC79A7","False",""
