"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","7","76","#0072B2","False",""
"ycheng20","Alice Cheng","College of Humanities and Social Sciences","Communication","","False","8","74","#CC79A7","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","5","55","#0072B2","False",""
"mkleine","Manuel Kleiner","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","20","122","#E69F00","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","1","79","#E69F00","False",""
"eaiyash","Eiman Aiyash","Poole College of Management","Economics","","False","1","2","#F0E442","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","5","54","#1ABC9C","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","3","33","#009E73","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","1","37","#009E73","False",""
"jhvanzan","John van Zanten","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","1","8","#0072B2","False",""
"zcang","Zixuan Cang","College of Sciences","Mathematics","","False","3","32","#009E73","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","12","95","#9B59B6","False",""
"fsantos2","Frederico Freitas","College of Humanities and Social Sciences","History","","False","1","17","#CC79A7","False",""
"hli73","Hui Li","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","7","23","#E69F00","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","2","66","#E69F00","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","2","196","#0072B2","False",""
"dpellet","Denis Pelletier","Poole College of Management","Economics","","False","1","19","#F0E442","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","2","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","3","52","#56B4E9","False",""
"mchi","Min Chi","College of Engineering","Computer Science","","False","1","53","#0072B2","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","2","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","5","48","#0072B2","False",""
"jcao22","Jie Cao","College of Agriculture and Life Sciences","Applied Ecology","","False","6","51","#E69F00","False",""
"alkwansa","Albert Kwansa","College of Engineering","Materials Science and Engineering","","False","2","21","#0072B2","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","15","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","7","132","#0072B2","False",""
"japorter","Anne Porterfield","Wilson College of Textiles","Textile and Apparel, Technology and Management","","False","1","8","#1ABC9C","False",""
"seshelto","Sarah Shelton","College of Engineering","Biomedical Engineering","","False","1","43","#0072B2","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","4","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","23","372","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","1","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","6","110","#E69F00","False",""
"jbudhat","Januka Budhathoki Uprety","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","3","38","#1ABC9C","False",""
"cflynch","Collin Lynch","College of Engineering","Computer Science","","False","5","43","#0072B2","False",""
"mjbradsh","Michael Bradshaw","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","12","67","#E69F00","False",""
"rsartor","Ryan Sartor","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","2","6","#E69F00","False",""
"fjliving","Frederick Livingston","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","2","5","#0072B2","False",""
"kdgriege","Khara Grieger","College of Agriculture and Life Sciences","Applied Ecology","","False","7","76","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","11","87","#9B59B6","False",""
"klan2","Kai Lan","College of Natural Resources","Forest Biomaterials","","False","11","47","#9B59B6","False",""
"aseayho","Ariel Seay-Howard","College of Humanities and Social Sciences","Communication","","False","1","2","#CC79A7","False",""
"mcsrougi","Melissa Srougi","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","2","26","#56B4E9","False",""
"jsatyav","Jayalakshmi Chandrika Satyavolu","College of Engineering","Computer Science","","False","1","2","#0072B2","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","5","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","2","83","#0072B2","False",""
"cwong9","Chau-Wai Wong","College of Engineering","Electrical and Computer Engineering","","False","3","46","#0072B2","False",""
"rbordol","Rongmon Bordoloi","College of Sciences","Physics","","False","6","45","#009E73","False",""
"skoenig","Sebastian Koenig","College of Sciences","Physics","","False","2","46","#009E73","False",""
"hallen","Hans Hallen","College of Sciences","Physics","","False","2","58","#009E73","False",""
"sastage","Scott Stage","College of Humanities and Social Sciences","Psychology","","False","1","10","#CC79A7","False",""
"adas8","Anupam Das","College of Engineering","Computer Science","","False","2","13","#0072B2","False",""
"jmgray2","Josh Gray","College of Natural Resources","Forestry and Environmental Resources","","False","1","47","#9B59B6","False",""
"bgilger","Brian Gilger","College of Veterinary Medicine","Clinical Sciences","","False","6","162","#56B4E9","False",""
"bbcutts","Bethany Cutts","College of Natural Resources","Parks, Recreation and Tourism Management","","False","8","55","#9B59B6","False",""
"arkendal","Allison Kendall","College of Veterinary Medicine","Clinical Sciences","","False","2","18","#56B4E9","False",""
"mdwalker","Mark Walker","Poole College of Management","Finance","","False","1","15","#F0E442","False",""
"lpal","Lokendra Pal","College of Natural Resources","Forest Biomaterials","","False","26","96","#9B59B6","False",""
"apgriesh","Andrew Grieshop","College of Engineering","Civil, Construction and Environmental Engineering","","False","2","67","#0072B2","False",""
"fedens","Frank Edens","College of Agriculture and Life Sciences","Prestage Department of Poultry Science","","False","2","16","#E69F00","False",""
"rfguerre","Rafael Guerrero","College of Sciences","Biological Sciences","","False","9","47","#009E73","False",""
"rjnaraya","Roger Narayan","College of Engineering","Biomedical Engineering","","False","10","288","#0072B2","False",""
"closburn","Chris Osburn","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","6","124","#009E73","False",""
"jkuzma","Jennifer Kuzma","College of Humanities and Social Sciences","Political Science & Public Administration [in the School of Public and International Affairs]","","False","3","85","#CC79A7","False",""
"cmtherio","Casey Theriot","College of Veterinary Medicine","Population Health and Pathobiology","","False","6","63","#56B4E9","False",""
"rlcook","Rachel Cook","College of Natural Resources","Forestry and Environmental Resources","","False","10","74","#9B59B6","False",""
"ryu5","Ruozhou Yu","College of Engineering","Computer Science","","False","6","63","#0072B2","False",""
"sozawa","Sarah Ozawa","College of Veterinary Medicine","Clinical Sciences","","False","6","33","#56B4E9","False",""
"kwsmith","Kurt Smith","College of Natural Resources","Forestry and Environmental Resources","","False","1","3","#9B59B6","False",""
"ssjeffri","Steph Jeffries","College of Natural Resources","Forestry and Environmental Resources","","False","1","3","#9B59B6","False",""
"jmgluck","Jessica Gluck","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","6","32","#1ABC9C","False",""
"srporter","Stephen Porter","College of Education","Educational Leadership, Policy, and Human Development","","False","2","26","#D55E00","False",""
"vfscharf","Valery Scharf","College of Veterinary Medicine","Clinical Sciences","","False","5","51","#56B4E9","False",""
"oyozalti","Osman Ozaltin","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","1","39","#0072B2","False",""
"ljunruh","Lori Unruh Snyder","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","1","10","#E69F00","False",""
"msashwel","Melissa Merrill","College of Agriculture and Life Sciences","Animal Science","","False","1","28","#E69F00","False",""
"cself","Rico Self","College of Humanities and Social Sciences","Communication","","False","3","5","#CC79A7","False",""
