"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","2","76","#0072B2","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","2","55","#0072B2","False",""
"mkleine","Manuel Kleiner","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","3","122","#E69F00","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","6","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","5","54","#1ABC9C","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","2","33","#009E73","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","2","37","#009E73","False",""
"jakamins","Jessica Kaminsky","College of Engineering","Civil, Construction and Environmental Engineering","","False","2","76","#0072B2","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","6","95","#9B59B6","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","4","66","#E69F00","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","9","196","#0072B2","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","1","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","13","107","#CC79A7","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","3","38","#E69F00","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","5","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","3","48","#0072B2","False",""
"jcao22","Jie Cao","College of Agriculture and Life Sciences","Applied Ecology","","False","1","51","#E69F00","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","13","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","11","132","#0072B2","False",""
"sksupak","Stacy Supak","College of Natural Resources","Center for Geospatial Analytics","","False","1","12","#9B59B6","False",""
