"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","3","76","#0072B2","False",""
"ycheng20","Alice Cheng","College of Humanities and Social Sciences","Communication","","False","8","74","#CC79A7","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","6","55","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","9","63","#0072B2","False",""
"mkleine","Manuel Kleiner","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","8","122","#E69F00","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","6","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","54","#1ABC9C","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","1","33","#009E73","False",""
"zcang","Zixuan Cang","College of Sciences","Mathematics","","False","7","32","#009E73","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","2","37","#009E73","False",""
"jakamins","Jessica Kaminsky","College of Engineering","Civil, Construction and Environmental Engineering","","False","10","76","#0072B2","False",""
"ccmeisne","Colten Meisner","College of Humanities and Social Sciences","Communication","","False","3","8","#CC79A7","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","4","95","#9B59B6","False",""
"fsantos2","Frederico Freitas","College of Humanities and Social Sciences","History","","False","1","17","#CC79A7","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","1","66","#E69F00","False",""
"amcabasm","Ashly Cabas Mijares","College of Engineering","Civil, Construction and Environmental Engineering","","False","2","18","#0072B2","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","21","196","#0072B2","False",""
"dpellet","Denis Pelletier","Poole College of Management","Economics","","False","2","19","#F0E442","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","4","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","1","52","#56B4E9","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","3","38","#E69F00","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","2","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","6","48","#0072B2","False",""
"jcao22","Jie Cao","College of Agriculture and Life Sciences","Applied Ecology","","False","3","51","#E69F00","False",""
"alkwansa","Albert Kwansa","College of Engineering","Materials Science and Engineering","","False","3","21","#0072B2","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","21","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","10","132","#0072B2","False",""
"mchi","Min Chi","College of Engineering","Computer Science","","False","6","53","#0072B2","False",""
"seshelto","Sarah Shelton","College of Engineering","Biomedical Engineering","","False","4","43","#0072B2","False",""
"sksupak","Stacy Supak","College of Natural Resources","Center for Geospatial Analytics","","False","1","12","#9B59B6","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","6","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","32","372","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","5","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","11","110","#E69F00","False",""
"jbudhat","Januka Budhathoki Uprety","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","3","38","#1ABC9C","False",""
"cflynch","Collin Lynch","College of Engineering","Computer Science","","False","2","43","#0072B2","False",""
"mjbradsh","Michael Bradshaw","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","8","67","#E69F00","False",""
"rsartor","Ryan Sartor","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","2","6","#E69F00","False",""
"kdgriege","Khara Grieger","College of Agriculture and Life Sciences","Applied Ecology","","False","6","76","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","5","87","#9B59B6","False",""
"klan2","Kai Lan","College of Natural Resources","Forest Biomaterials","","False","2","47","#9B59B6","False",""
