uid,name,shib_role,shib_title,orcid,college,department,nc_state_affiliations,works_count,open_access_works_count,sdg_work_count_by_wos_1,sdg_work_count_by_wos_2,sdg_work_count_by_wos_3,sdg_work_count_by_wos_4,sdg_work_count_by_wos_5,sdg_work_count_by_wos_6,sdg_work_count_by_wos_7,sdg_work_count_by_wos_8,sdg_work_count_by_wos_9,sdg_work_count_by_wos_10,sdg_work_count_by_wos_11,sdg_work_count_by_wos_12,sdg_work_count_by_wos_13,sdg_work_count_by_wos_14,sdg_work_count_by_wos_15,sdg_work_count_by_wos_16,sdg_work_count_by_wos_17
pndarma,Panji Darma,faculty,Asst Research Professor,,College of Engineering,"Civil, Construction and Environmental Engineering","Civil, Construction and Environmental Engineering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cchen32,Crystal Lee,faculty,Assoc Professor,https://orcid.org/0000-0002-9110-2170,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences,20,3,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0
gkwatkin,Greg Watkins,faculty,Teaching Professor,,College of Engineering,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ttilfor,Terri Tilford,faculty,Asst Teaching Professor,,College of Education,"Educational Leadership, Policy, and Human Development","Educational Leadership, Policy, and Human Development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dlhemphi,Destiny Hemphill,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jturner9,Jen Turner,faculty,Asst Teaching Professor,https://orcid.org/0000-0003-3080-0749,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hmjohns6,Heather Dretsch,faculty,Asst Professor,https://orcid.org/0000-0003-2266-9832,Poole College of Management,"Management, Innovation and Entrepreneurship","Management, Innovation and Entrepreneurship",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ckoch,Christian Koch,faculty,Lecturer,,Poole College of Management,Finance,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jikagend,Joy Kagendo,faculty,Dr Joy Kagendo,https://orcid.org/0009-0001-4770-7148,NC State Administration and Offices,Physical Education,Physical Education; Global One Health Academy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kameikle,Kelly Meiklejohn,faculty,Assoc Professor,https://orcid.org/0000-0001-6125-2963,College of Veterinary Medicine,Population Health and Pathobiology,Population Health and Pathobiology; Population Health and Pathobiology; Genetics and Genomics Academy; Population Health and Pathobiology; Forensic Sciences,45,30,0,0,11,0,0,0,0,0,0,0,0,0,0,2,5,1,0
nduquew,Natalia Duque-Wilckens,faculty,Asst Professor,https://orcid.org/0000-0003-3700-2600,College of Sciences,Biological Sciences,Toxicology Programs; Biological Sciences; Center for Human Health and the Environment ; Genetics and Genomics Academy; Global One Health Academy; Comparative Medicine Institute,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eozlu,Ekrem Ozlu,faculty,Asst Professor,https://orcid.org/0000-0003-1225-3243,College of Agriculture and Life Sciences,Crop and Soil Sciences,Crop and Soil Sciences; Coastal Resilience and Sustainability Initiative,42,10,0,5,0,0,0,0,1,0,0,0,0,0,5,4,3,0,0
jlfulks,Jessica Singleton,faculty,Asst Teaching Professor,https://orcid.org/0009-0002-5490-9482,Wilson College of Textiles,"Textile and Apparel, Technology and Management","Textile and Apparel, Technology and Management",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wjmille3,Jason Miller,faculty,Distinguished Professor,https://orcid.org/0009-0000-4412-8899,College of Humanities and Social Sciences,English,English,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ssmody,Sujata Mody,faculty,Assoc Professor,https://orcid.org/0000-0002-0162-6553,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcmorant,Tamah Morant,faculty,"Assoc/Asst Dean, Undrgrad Prog",,University College,University College Administration,Poole College of Management Administration; Economics,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hpmarcha,Hernan Marchant Montenegro,faculty,Professor,,College of Design,"Media Arts, Design and Technology","Media Arts, Design and Technology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itmessih,Inas Messiha,faculty,Assoc Teaching Professor,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jkmillha,John Millhauser,faculty,Assoc Professor,https://orcid.org/0000-0002-7576-932X,College of Humanities and Social Sciences,Sociology and Anthropology,Sociology and Anthropology,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rdmahone,Richard Mahoney,faculty,Professor,,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fmartin3,Florence Martin,faculty,Professor,https://orcid.org/0000-0002-6055-5636,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences; Secure Computing Institute,387,42,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0
imali,Ivana Mali,faculty,Assoc Professor,https://orcid.org/0000-0001-8673-1442,College of Natural Resources,Forestry and Environmental Resources,Forestry and Environmental Resources,38,17,0,0,3,0,0,0,0,0,0,0,0,0,6,0,6,0,0
egmedlin,Emily Martin,faculty,Asst Clinical Professor,https://orcid.org/0000-0003-3139-0315,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,13,8,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
smankad,Shawn Mankad,faculty,Assoc Professor,https://orcid.org/0000-0001-7945-8556,Poole College of Management,"Information Technology, Analytics, & Operations","Information Technology, Analytics, & Operations",24,7,2,0,2,0,0,0,0,3,1,2,0,1,0,0,0,0,0
smirbag,Samira Mirbagher Ajorpaz,faculty,Asst Professor,https://orcid.org/0009-0008-4997-5980,College of Engineering,Electrical and Computer Engineering,Electrical and Computer Engineering; Secure Computing Institute,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kemccool,Katie McCool,faculty,Asst Professor,https://orcid.org/0000-0001-8588-8296,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,8,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
amitra2,Aritra Mitra,faculty,Asst Professor,https://orcid.org/0009-0004-4590-553X,College of Engineering,Electrical and Computer Engineering,Electrical and Computer Engineering,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smmcleod,Sterling Mcleod,faculty,Asst Teaching Professor,,College of Engineering,Computer Science,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spmonroe,Settle Monroe,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnelson4,Natalie Nelson,faculty,Assoc Professor,https://orcid.org/0000-0002-3258-7622,College of Agriculture and Life Sciences,Biological and Agricultural Engineering,Center for Geospatial Analytics; Biological and Agricultural Engineering; Biological and Agricultural Engineering; Coastal Resilience and Sustainability Initiative; KIETS Climate Leaders Program; N.C. Plant Sciences Initiative; Biological and Agricultural Engineering; Science and Technologies for Phosphorus Sustainability Center; Global One Health Academy,66,45,0,6,11,1,0,20,2,0,0,0,5,0,16,27,14,1,0
ncnelso2,Nathan Nelson,faculty,Clinical Professor,https://orcid.org/0000-0003-3765-1694,College of Veterinary Medicine,Molecular Biomedical Sciences,Molecular Biomedical Sciences,32,21,0,1,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0
tnguye13,Tien Khai Nguyen,faculty,Assoc Professor,https://orcid.org/0000-0001-7821-3370,College of Sciences,Mathematics,Mathematics,66,33,0,0,1,1,0,0,0,1,0,0,1,0,3,0,0,0,0
lnelson3,Laura Nelson,faculty,"Director of Clinical Education, Professor of Small Animal Surgery",https://orcid.org/0009-0001-0067-7084,College of Veterinary Medicine,Clinical Sciences,College of Veterinary Medicine Administration,7,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
jpnewby,Parks Newby,faculty,Asst Teaching Professor,,College of Education,"Science, Technology, Engineering, & Mathematics Education","Science, Technology, Engineering, & Mathematics Education",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnavarr,Inma Navarro,faculty,Senior Lecturer,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmlandin,Jennifer Landin,faculty,Teaching Professor,https://orcid.org/0000-0003-4503-7942,College of Sciences,Biological Sciences,Biological Sciences,4,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
njleaf,Nathan Leaf,faculty,Director of Choral Activities/Teaching Professor,,University College,Music,Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhli2,Ronald Li,faculty,Assoc Professor,https://orcid.org/0000-0002-3325-2744,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,48,43,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0
amlocke2,Anna Locke,faculty,Unpaid Research Scholar,https://orcid.org/0000-0002-4254-4466,College of Agriculture and Life Sciences,Crop and Soil Sciences,Crop and Soil Sciences; Genetics and Genomics Academy; N.C. Plant Sciences Initiative,35,24,0,18,2,0,0,0,0,0,0,0,0,0,17,1,2,0,0
yliu335,Yuan Liu,faculty,Asst Professor,https://orcid.org/0000-0003-1468-942X,College of Engineering,Electrical and Computer Engineering,Electrical and Computer Engineering,69,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llopezq,Lorena Lopez,faculty,Asst Extension Professor,https://orcid.org/0000-0003-3123-3715,College of Agriculture and Life Sciences,Entomology and Plant Pathology,Entomology and Plant Pathology,39,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ylee44,Yunjin Lee,faculty,Lecturer,,University College,Music,Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnikoi,Nii Kotei Nikoi,faculty,Asst Professor,https://orcid.org/0000-0003-2366-2026,College of Humanities and Social Sciences,Communication,Communication,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trjones8,Tamecia Jones,faculty,Asst Professor,https://orcid.org/0000-0003-4229-3975,College of Education,"Science, Technology, Engineering, & Mathematics Education","Science, Technology, Engineering, & Mathematics Education",34,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
lmkleman,Lynette Johnston,faculty,Asst Professor and Extension Specialist,,College of Agriculture and Life Sciences,"Food, Bioprocessing, and Nutrition Sciences","Food, Bioprocessing, and Nutrition Sciences",3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jajenni3,Jamie Jennings,faculty,Assoc Teaching Professor,https://orcid.org/0000-0002-3716-5162,College of Engineering,Computer Science,Computer Science,28,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kjohns22,Kennita Johnson,faculty,Asst Professor,,College of Engineering,Biomedical Engineering,Biomedical Engineering; Global One Health Academy,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jsjones7,Jill Jones,faculty,Asst Teaching Professor,,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences,10,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ejones5,Ebony Jones,faculty,Assoc Professor,https://orcid.org/0009-0006-4720-925X,College of Humanities and Social Sciences,History,History,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jljone21,Jacob Jones,faculty,Kobe Steel Distinguished Professor,https://orcid.org/0000-0002-9182-0957,College of Engineering,Materials Science and Engineering,Materials Science and Engineering; Materials Science and Engineering; Materials Science and Engineering; Science and Technologies for Phosphorus Sustainability Center; N.C. Plant Sciences Initiative,352,177,0,5,12,0,0,15,114,0,0,0,3,0,2,1,1,0,0
skuttal,Sandeep Kuttal,faculty,Assoc Professor,https://orcid.org/0000-0002-2610-5308,College of Engineering,Computer Science,Computer Science,45,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
aking5,Ailbhe King,faculty,Assistant Clinical Professor,https://orcid.org/0000-0001-6002-0351,College of Veterinary Medicine,Population Health and Pathobiology,Population Health and Pathobiology,10,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jkim227,Jung-Eun Kim,faculty,Asst Professor,https://orcid.org/0000-0001-9780-2947,College of Engineering,Computer Science,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cwkampe,Chris Kampe,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jkrylow,Joseph Krylow,faculty,Asst Teaching Professor,,College of Humanities and Social Sciences,Philosophy and Religious Studies,Philosophy and Religious Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ekautz,Elizabeth Kautz,faculty,Asst Professor,https://orcid.org/0000-0002-6338-9223,College of Engineering,Nuclear Engineering,Nuclear Engineering,89,54,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
jakamins,Jessica Kaminsky,faculty,Professor,https://orcid.org/0000-0002-1340-7913,College of Engineering,"Civil, Construction and Environmental Engineering","Civil, Construction and Environmental Engineering",98,29,0,0,1,1,0,2,0,0,1,0,1,1,1,1,0,0,0
skim235,Serena Kim,faculty,Asst Professor,https://orcid.org/0000-0003-3839-3674,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs]; Global One Health Academy,18,6,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0
dpkelly,Daniel Kelly,faculty,Asst Professor,,College of Education,"Science, Technology, Engineering, & Mathematics Education","Science, Technology, Engineering, & Mathematics Education",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mckulkar,Maitreyee Kulkarni,faculty,Asst Teaching Professor,,College of Sciences,Mathematics,Mathematics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mmkinley,Maya Kinley-Hanlon,faculty,Asst Teaching Professor,https://orcid.org/0000-0002-7367-8002,College of Sciences,Physics,Physics,94,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bkim18,Byungsoo Kim,faculty,Asst Professor,https://orcid.org/0000-0002-6268-9187,College of Design,Graphic Design & Industrial Design,Graphic Design & Industrial Design,47,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
mkuriha,Manabu Kurihara,faculty,Asst Professor,,College of Veterinary Medicine,Molecular Biomedical Sciences,Molecular Biomedical Sciences,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imkaneko,Mina Kaneko,faculty,Asst Professor,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dmkearns,Devin Kearns,faculty,Professor,https://orcid.org/0000-0001-9703-0932,College of Education,Teacher Education and Learning Sciences,Teacher Education and Learning Sciences,58,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ackiassa,Corey Kiassat,faculty,Teaching Professor,https://orcid.org/0009-0009-1473-1027,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering,Edward P. Fitts Department of Industrial & Systems Engineering,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skais,Sabre Kais,faculty,Professor,https://orcid.org/0000-0003-0574-5346,College of Engineering,Electrical and Computer Engineering,Electrical and Computer Engineering,229,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eklindsa,Edwin Lindsay,faculty,Assoc Teaching Professor,,College of Natural Resources,"Parks, Recreation and Tourism Management","Parks, Recreation and Tourism Management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hstohl,Hollylynne Lee,faculty,Professor,https://orcid.org/0000-0002-7022-2018,College of Education,"Science, Technology, Engineering, & Mathematics Education","Education; Science, Technology, Engineering, & Mathematics Education",158,23,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0
drotenb,Dorith Rotenberg,faculty,Professor,https://orcid.org/0000-0002-9018-8822,College of Agriculture and Life Sciences,Entomology and Plant Pathology,Entomology and Plant Pathology; Genetic Engineering and Society; Genetics and Genomics Academy; Entomology and Plant Pathology; Genetic Engineering and Society Center; Global One Health Academy,59,39,0,17,8,0,0,0,0,0,0,0,0,0,18,0,1,0,0
wmrand,Bill Rand,faculty,Professor,https://orcid.org/0000-0002-8294-1757,Poole College of Management,Marketing,Coastal Resilience and Sustainability Initiative; Center for Geospatial Analytics; Global One Health Academy,57,16,0,0,2,0,0,0,0,0,3,1,1,0,1,0,0,0,0
cdrock,Christopher Rock,faculty,"Physical Sci, Research Scholar",https://orcid.org/0000-0003-1456-7086,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering,Edward P. Fitts Department of Industrial & Systems Engineering; Center for Additive Manufacturing and Logistics,29,18,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0
ktreyno2,Kanton Reynolds,faculty,"Director, Undergraduate Programs & Associate Teaching Professor",https://orcid.org/0000-0003-4471-5844,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering,Edward P. Fitts Department of Industrial & Systems Engineering,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trruth,Terrance Ruth,faculty,Asst Professor,https://orcid.org/0009-0001-2772-2498,College of Humanities and Social Sciences,Social Work,Social Work,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btrancou,Benjamin Rancourt,faculty,Asst Teaching Professor,,College of Humanities and Social Sciences,Philosophy and Religious Studies,Philosophy and Religious Studies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skrhea,Sarah Rhea,faculty,Asst Professor,https://orcid.org/0000-0002-6183-1620,College of Veterinary Medicine,Population Health and Pathobiology,Comparative Medicine Institute; Population Health and Pathobiology; Population Health and Pathobiology; Global One Health Academy; Center for Human Health and the Environment ,36,24,0,0,9,0,0,2,0,0,0,0,0,0,3,2,2,0,0
areysan,Camilo Rey-Sanchez,faculty,Asst Professor,https://orcid.org/0000-0003-4762-9001,College of Sciences,"Marine, Earth, and Atmospheric Sciences","Marine, Earth, and Atmospheric Sciences",98,27,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0
cmrobvei,Cynthia Robveille,faculty,Asst Research Professor,https://orcid.org/0000-0002-2264-307X,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,17,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arumyan,Artem Rumyantsev,faculty,Asst Professor,https://orcid.org/0000-0002-0339-2375,College of Engineering,Chemical and Biomolecular Engineering,Chemical and Biomolecular Engineering,45,20,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
acrossel,Tony Rosselli,faculty,Asst Teaching Professor,,College of Natural Resources,"Parks, Recreation and Tourism Management","Parks, Recreation and Tourism Management",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eareges,Ed Reges,faculty,Lecturer,,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laramir2,Alonso Ramirez,faculty,Professor,https://orcid.org/0000-0001-9985-5719,College of Agriculture and Life Sciences,Applied Ecology,Applied Ecology; Coastal Resilience and Sustainability Initiative,140,55,0,1,0,0,0,2,0,0,0,0,0,0,5,28,26,0,0
jryu,Jong Eun Ryu,faculty,Assoc Professor,https://orcid.org/0000-0002-8238-9130,College of Engineering,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,92,34,0,0,6,0,0,4,11,0,5,0,5,0,0,0,0,0,0
rrellan,Rubén Rellán-Álvarez,faculty,Assoc Professor,https://orcid.org/0000-0001-6843-3716,Interdisciplinary Programs,Genetic Engineering and Society,Genetic Engineering and Society; Genetics and Genomics Academy; Genetic Engineering and Society Center; Science and Technologies for Phosphorus Sustainability Center; N.C. Plant Sciences Initiative,71,41,0,2,2,0,0,0,0,0,0,0,0,0,9,0,9,0,0
jlreyno4,James Reynolds,faculty,Asst Research Professor,https://orcid.org/0000-0002-8345-685X,College of Engineering,Electrical and Computer Engineering,Electrical and Computer Engineering,19,9,1,2,5,0,0,0,0,0,0,0,0,0,2,1,1,0,0
rrishik,Rishika Rishika,faculty,Professor,https://orcid.org/0000-0003-1708-9614,Poole College of Management,Marketing,Marketing,7,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trabino,Tatiana Rabinovich,faculty,Asst Teaching Professor,,College of Humanities and Social Sciences,Interdisciplinary Studies,Interdisciplinary Studies,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srchetty,Sarah Rowe,faculty,Senior Lecturer,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daramse2,David Ramsey,faculty,Lecturer,,College of Engineering,Engineering Research,Engineering Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahross,Ann Ross,faculty,Professor,https://orcid.org/0000-0001-8780-1414,College of Sciences,Biological Sciences,Sociology and Anthropology; Biological Sciences,100,21,0,0,8,0,1,0,0,0,0,0,0,0,4,1,4,0,0
jrelyea,Jackie Relyea,faculty,Assoc Professor,https://orcid.org/0000-0002-7560-7136,College of Education,Teacher Education and Learning Sciences,Education; Teacher Education and Learning Sciences,96,12,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
mcricker,Matt Ricker,faculty,Assoc Professor,https://orcid.org/0000-0002-0837-7588,College of Agriculture and Life Sciences,Crop and Soil Sciences,Crop and Soil Sciences; Coastal Resilience and Sustainability Initiative,31,4,0,3,0,0,0,1,0,0,0,0,0,0,11,9,7,0,0
hroessn,Holly Roessner,faculty,Asst Clinical Professor,https://orcid.org/0000-0002-9434-9857,College of Veterinary Medicine,Clinical Sciences,Veterinary Hospital; Clinical Sciences,11,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecrose2,Elizabeth Rose,faculty,Asst Clinical Professor,,College of Veterinary Medicine,Population Health and Pathobiology,Population Health and Pathobiology; Global One Health Academy,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vpriel,Virginia Riel,faculty,Asst Teaching Professor,https://orcid.org/0000-0002-6083-511X,College of Humanities and Social Sciences,Sociology and Anthropology,Sociology and Anthropology,11,2,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0
wmreynol,Matt Reynolds,faculty,Special,https://orcid.org/0000-0002-3946-7447,College of Education,"Science, Technology, Engineering, & Mathematics Education","Science, Technology, Engineering, & Mathematics Education",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mdrosses,Mariea Ross-Estrada,faculty,Assistant Clinical Professor of Small Animal Primary Care,https://orcid.org/0000-0003-3909-5134,College of Veterinary Medicine,Clinical Sciences,Clinical Sciences,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rbruffin,Rico Ruffino,faculty,Asst Prof of the Practice,,College of Natural Resources,Forest Biomaterials,Forest Biomaterials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segrunde,Sarah Ruiz,faculty,Lecturer,https://orcid.org/0009-0005-3647-0519,College of Humanities and Social Sciences,English,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccrosenf,Cindy Rosenfeld,faculty,Asst Teaching Professor,https://orcid.org/0000-0001-7270-4910,College of Humanities and Social Sciences,Communication,Communication,20,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slreichi,Sydney Reichin,faculty,Asst Professor,https://orcid.org/0000-0003-1143-6056,College of Humanities and Social Sciences,Psychology,Psychology,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jarickab,Jay Rickabaugh,faculty,Asst Professor,https://orcid.org/0000-0002-3810-082X,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs]; Political Science & Public Administration [in the School of Public and International Affairs]; Genetic Engineering and Society Center; Political Science & Public Administration [in the School of Public and International Affairs]; Science and Technologies for Phosphorus Sustainability Center; N.C. Plant Sciences Initiative,27,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enlooper,Erin Rivers,faculty,Asst Professor,https://orcid.org/0000-0002-7632-877X,College of Agriculture and Life Sciences,Crop and Soil Sciences,Crop and Soil Sciences,3,2,0,2,2,0,0,2,0,0,2,0,2,0,2,2,0,0,0
jrroger7,Jordan Rogers,faculty,Asst Professor,https://orcid.org/0009-0008-4399-5542,College of Humanities and Social Sciences,History,History,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iarandri,Irina Randriamiadana,faculty,Asst Professor,https://orcid.org/0009-0001-1750-450X,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skraghve,Sharath Raghvendra,faculty,Assoc Professor,,College of Engineering,Computer Science,Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efrissma,Emilie Rissman,faculty,Professor,,College of Sciences,Biological Sciences,Biological Sciences; Biological Sciences; Genetics and Genomics Academy; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment ,56,31,0,0,16,1,1,7,0,0,0,0,0,0,0,0,0,0,0
lkromo,Lynsey Romo,faculty,Professor,https://orcid.org/0000-0002-7233-8540,College of Humanities and Social Sciences,Communication,Communication; Global One Health Academy,51,4,2,0,35,2,17,0,0,0,0,2,0,0,0,0,0,0,0
mvramire,Melissa Ramirez,faculty,"Director of Genetics & Genomics Academy Undergraduate Programs, Associate Teaching Professor",https://orcid.org/0000-0003-2201-4668,College of Sciences,Biological Sciences,Biological Sciences; Genetics and Genomics Academy,25,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
rjreardo,Robert Reardon,faculty,"Director, Master of International Studies",https://orcid.org/0000-0002-7214-8341,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs],13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
reronque,Rebecca Ronquest,faculty,Assoc Professor,,College of Humanities and Social Sciences,World Languages and Cultures,World Languages and Cultures,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bmritte2,Beth Ritter,faculty,Unpaid Retiree,https://orcid.org/0000-0003-1518-4861,Poole College of Management,"Management, Innovation and Entrepreneurship","Management, Innovation and Entrepreneurship; Coastal Resilience and Sustainability Initiative",4,2,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
vnralsto,Victoria Ralston,faculty,Assoc Teaching Professor,,College of Humanities and Social Sciences,Interdisciplinary Studies,Interdisciplinary Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
