uid,name,shib_role,shib_title,orcid,college,department,nc_state_affiliations,works_count,open_access_works_count,sdg_work_count_by_wos_1,sdg_work_count_by_wos_2,sdg_work_count_by_wos_3,sdg_work_count_by_wos_4,sdg_work_count_by_wos_5,sdg_work_count_by_wos_6,sdg_work_count_by_wos_7,sdg_work_count_by_wos_8,sdg_work_count_by_wos_9,sdg_work_count_by_wos_10,sdg_work_count_by_wos_11,sdg_work_count_by_wos_12,sdg_work_count_by_wos_13,sdg_work_count_by_wos_14,sdg_work_count_by_wos_15,sdg_work_count_by_wos_16,sdg_work_count_by_wos_17
mbsopher,Mindy Sopher,faculty,Unpaid Emeritus,https://orcid.org/0009-0009-5397-809X,College of Humanities and Social Sciences,Communication,Exploratory Studies; Communication,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lschnei,Lesley Schneider,faculty,Unpaid Collaborator,,College of Humanities and Social Sciences,Sociology and Anthropology,Sociology and Anthropology,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsshowal,D  Scott Showalter,faculty,Professor of the Practice,,Poole College of Management,Accounting,Accounting,8,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
stiffler,Margaret Stiffler,faculty,Teaching Professor,,College of Humanities and Social Sciences,Sociology and Anthropology,Sociology and Anthropology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ajstewa5,Amanda Stewart,faculty,Assoc Professor,https://orcid.org/0000-0001-5738-1324,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs],30,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klstansb,Kim Stansbury,faculty,Professor,,College of Humanities and Social Sciences,Social Work,Social Work,17,2,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,1,0
kestewa4,Katharine Stewart,faculty,Unclassified,,NC State Administration and Offices,Office of the Executive Vice Chancellor and Provost,Office of the Executive Vice Chancellor and Provost; Office of Faculty Excellence; Global One Health Academy,18,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mshahza,Muhammad Shahzad,faculty,Assoc Professor,https://orcid.org/0000-0003-4342-7875,College of Engineering,Computer Science,Computer Science,130,8,0,0,5,0,0,1,0,0,11,0,10,0,0,0,0,0,0
cbstucke,Caitlin Stuckey,faculty,Senior Lecturer,https://orcid.org/0009-0006-5832-099X,College of Humanities and Social Sciences,English,English,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daskaar,David Skaar,faculty,Assoc Research Professor,https://orcid.org/0000-0003-3530-957X,College of Sciences,Biological Sciences,Biological Sciences; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment ,18,11,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ktstolee,Kathryn Stolee,faculty,Assoc Professor,,College of Engineering,Computer Science,Computer Science,22,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
agsolari,Anthony Solari,faculty,Asst Teaching Professor,https://orcid.org/0009-0003-7251-9223,College of Humanities and Social Sciences,Political Science & Public Administration [in the School of Public and International Affairs],Political Science & Public Administration [in the School of Public and International Affairs],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasibley,Patsy Sibley,faculty,Assoc Teaching Professor,,College of Humanities and Social Sciences,Interdisciplinary Studies,Interdisciplinary Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jimielke,Jeffrey Mielke,faculty,Professor,https://orcid.org/0009-0002-9882-8254,College of Humanities and Social Sciences,English,English,78,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jsmulhol,James Mulholland,faculty,"Assoc/Asst Dean, Social Sci",https://orcid.org/0000-0002-4149-6212,College of Humanities and Social Sciences,College of Humanities and Social Sciences Administration,English,19,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
